Unnamed: 0,TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10
61,2023-08-06 16:23:14,23.61,59.04,35,0,27.97,101.72,25.0,567.0,,,
62,2023-08-06 16:24:14,23.53,59.05,35,0,26.14,101.72,22.0,549.0,,,
63,2023-08-06 16:25:14,23.55,59.05,36,0,29.8,101.72,23.0,555.0,,,
64,2023-08-06 16:26:14,23.51,59.06,36,0,31.51,101.72,23.0,551.0,,,
65,2023-08-06 16:27:14,23.47,59.09,35,0,25.0,101.72,22.0,548.0,0.0,0.0,0.0
66,2023-08-06 16:28:14,23.45,59.48,35,0,25.26,101.72,19.0,531.0,,,
67,2023-08-06 16:29:14,23.44,59.37,35,3,25.16,101.72,18.0,520.0,,,
68,2023-08-06 16:30:14,23.42,59.34,35,5,29.46,101.72,17.0,518.0,,,
69,2023-08-06 16:31:14,23.37,59.41,35,5,25.7,101.72,17.0,518.0,,,
70,2023-08-06 16:32:14,23.32,59.47,35,6,24.96,101.72,15.0,505.0,0.0,0.0,0.0
71,2023-08-06 16:33:14,23.35,59.78,35,6,25.67,101.72,13.0,488.0,,,
72,2023-08-06 16:34:14,23.32,59.69,35,7,23.63,101.72,12.0,483.0,,,
73,2023-08-06 16:35:14,23.3,59.73,35,8,25.79,101.72,13.0,488.0,,,
74,2023-08-06 16:36:14,23.27,59.71,35,33,25.22,101.72,12.0,485.0,,,
75,2023-08-06 16:37:14,23.28,59.76,35,13,30.53,101.72,11.0,478.0,0.0,0.0,0.0
76,2023-08-06 16:38:14,23.27,60.08,35,27,24.39,101.73,7.0,451.0,,,
77,2023-08-06 16:39:14,23.25,60.03,35,22,30.53,101.72,7.0,452.0,,,
78,2023-08-06 16:40:14,23.25,60.07,35,37,29.22,101.72,7.0,448.0,,,
79,2023-08-06 16:41:14,23.22,60.09,35,24,26.36,101.72,6.0,444.0,,,
80,2023-08-06 16:42:14,23.2,60.22,35,34,25.62,101.73,10.0,470.0,0.0,0.0,0.0
81,2023-08-06 16:43:14,23.2,60.48,35,33,26.03,101.73,8.0,457.0,,,
82,2023-08-06 16:44:14,23.18,60.37,34,33,29.18,101.73,7.0,451.0,,,
83,2023-08-06 16:45:14,23.16,60.38,34,33,29.53,101.73,7.0,451.0,,,
84,2023-08-06 16:46:14,23.18,60.42,35,33,26.97,101.73,7.0,452.0,,,
85,2023-08-06 16:47:14,23.17,60.45,35,32,25.98,101.73,8.0,454.0,0.0,0.0,0.0
